-0.0457164f 
-0.0523929f 
-0.0587239f 
-0.1222875f 
-0.1809894f 
-0.1654095f 
-0.1016572f 
-0.0716727f 
-0.0809764f 
-0.1044267f 
-0.1365567f 
-0.1531950f 
-0.1602641f 
-0.1654200f 
-0.1306689f 
-0.0496619f 
-0.0068667f 
-0.0417775f 
-0.0714951f 
-0.0704258f 
-0.0979481f 
-0.1345574f 
-0.1126784f 
-0.0706242f 
-0.0799521f 
-0.0944873f 
-0.0532395f 
0.0021855f 
0.0053392f 
-0.0461758f 
-0.1000711f 
-0.1016285f 
-0.0508872f 
-0.0143798f 
-0.0265598f 
-0.0549168f 
-0.0967474f 
-0.1688348f 
-0.2163155f 
-0.1814363f 
-0.1142207f 
-0.0744561f 
-0.0335322f 
0.0240204f 
0.0476634f 
0.0057305f 
-0.0907142f 
-0.2128187f 
-0.2826137f 
-0.2257928f 
-0.1013908f 
-0.0398070f 
-0.0681805f 
-0.1179863f 
-0.1441518f 
-0.1441031f 
-0.1307370f 
-0.1255803f 
-0.1210151f 
-0.0907505f 
-0.0637963f 
-0.0912695f 
-0.1457023f 
-0.1651763f 
-0.1564333f 
-0.1525329f 
-0.1459310f 
-0.1331462f 
-0.1351230f 
-0.1447763f 
-0.1365895f 
-0.1222756f 
-0.1290331f 
-0.1474965f 
-0.1483227f 
-0.1318589f 
-0.1335635f 
-0.1727684f 
-0.2150812f 
-0.2206245f 
-0.2077212f 
-0.2101864f 
-0.2057777f 
-0.1595770f 
-0.0970614f 
-0.0742490f 
-0.1137322f 
-0.1933922f 
-0.2632631f 
-0.2841619f 
-0.2688726f 
-0.2540017f 
-0.2470362f 
-0.2415221f 
-0.2361483f 
-0.2132140f 
-0.1699479f 
-0.1587081f 
-0.2064060f 
-0.2439998f 
-0.2065821f 
-0.1352142f 
-0.1140888f 
-0.1693507f 
-0.2495033f 
-0.2688724f 
-0.1999500f 
-0.1174349f 
-0.0895120f 
-0.0901313f 
-0.0947989f 
-0.1412354f 
-0.2205154f 
-0.2568355f 
-0.2361649f 
-0.2051969f 
-0.1606652f 
-0.0835760f 
-0.0228329f 
-0.0278380f 
-0.0730383f 
-0.1134841f 
-0.1386753f 
-0.1565305f 
-0.1814578f 
-0.2176419f 
-0.2337986f 
-0.1999205f 
-0.1403887f 
-0.1060281f 
-0.1186548f 
-0.1628288f 
-0.1991772f 
-0.1947460f 
-0.1639751f 
-0.1459013f 
-0.1408253f 
-0.1228013f 
-0.0959142f 
-0.0842298f 
-0.0930258f 
-0.1123774f 
-0.1310235f 
-0.1416156f 
-0.1477985f 
-0.1480918f 
-0.1247868f 
-0.0847242f 
-0.0711789f 
-0.0972409f 
-0.1273586f 
-0.1438728f 
-0.1592587f 
-0.1709263f 
-0.1718752f 
-0.1679539f 
-0.1421056f 
-0.0745205f 
-0.0123359f 
-0.0244914f 
-0.1002054f 
-0.1817033f 
-0.2456522f 
-0.2730980f 
-0.2267154f 
-0.1302882f 
-0.0708444f 
-0.0715086f 
-0.0684269f 
-0.0382726f 
-0.0329690f 
-0.0735682f 
-0.1186471f 
-0.1426165f 
-0.1560393f 
-0.1636224f 
-0.1713212f 
-0.1947235f 
-0.2128713f 
-0.1832670f 
-0.1281404f 
-0.1113166f 
-0.1285933f 
-0.1289794f 
-0.1159877f 
-0.1214762f 
-0.1388345f 
-0.1655323f 
-0.2196240f 
-0.2688882f 
-0.2579180f 
-0.2011805f 
-0.1374080f 
-0.0655868f 
-0.0248399f 
-0.0931947f 
-0.2265152f 
-0.2839200f 
-0.2479698f 
-0.2130019f 
-0.1862992f 
-0.1256787f 
-0.0937742f 
-0.1562808f 
-0.2332822f 
-0.2276292f 
-0.1752909f 
-0.1476315f 
-0.1405941f 
-0.1349497f 
-0.1434577f 
-0.1634121f 
-0.1710654f 
-0.1598659f 
-0.1325519f 
-0.0906778f 
-0.0595386f 
-0.0739817f 
-0.1245608f 
-0.1626142f 
-0.1635518f 
-0.1470655f 
-0.1330504f 
-0.1152815f 
-0.0908459f 
-0.0781663f 
-0.0779176f 
-0.0521502f 
0.0186818f 
0.0933584f 
0.1241215f 
0.1143503f 
0.0869783f 
0.0387096f 
-0.0363486f 
-0.1055374f 
-0.1163122f 
-0.0613113f 
-0.0012723f 
0.0126760f 
0.0151488f 
0.0537411f 
0.0806231f 
0.0342293f 
-0.0222398f 
0.0076430f 
0.0847985f 
0.1069058f 
0.0700635f 
0.0308179f 
0.0061470f 
0.0020892f 
0.0351491f 
0.0854138f 
0.1238573f 
0.1587509f 
0.1760265f 
0.1249304f 
0.0256025f 
-0.0360644f 
-0.0505790f 
-0.0749604f 
-0.0863554f 
-0.0060095f 
0.1402792f 
0.2259146f 
0.1877777f 
0.0924458f 
0.0318647f 
0.0135372f 
-0.0124084f 
-0.0486040f 
